UserId	CheckinTime	VenueId	VenueType	X	Y
197	2019-07-06T06:45:00	223	Pub	409.366639029351	4737.119867861318
97	2019-07-06T06:50:00	374	Restaurant	3457.9857195275254	4293.203806306731
107	2019-07-06T06:50:00	224	Restaurant	72.06290852190406	5235.805434177497
13	2019-07-06T06:55:00	223	Pub	409.366639029351	4737.119867861318
122	2019-07-06T06:55:00	374	Restaurant	3457.9857195275254	4293.203806306731
242	2019-07-06T06:55:00	148	Pub	6925.053654877389	-627.6941716386941
186	2019-07-06T07:00:00	299	Restaurant	944.2472848304708	4411.842413592623
221	2019-07-06T07:00:00	456	Restaurant	-4521.189679594014	4847.099060257379
19	2019-07-06T07:05:00	298	Pub	4171.157508848106	2832.550929200438
42	2019-07-06T07:05:00	374	Restaurant	3457.9857195275254	4293.203806306731
75	2019-07-06T07:05:00	298	Pub	4171.157508848106	2832.550929200438
184	2019-07-06T07:05:00	77	Apartment	7103.908745072151	-12.023471563116866
191	2019-07-06T07:05:00	373	Pub	2134.8180662065633	7855.141309104324
8	2019-07-06T07:10:00	302	Apartment	1676.6866746581009	7147.403244929748
55	2019-07-06T07:10:00	149	Restaurant	3214.831164254914	1854.2532487275216
58	2019-07-06T07:10:00	149	Restaurant	3214.831164254914	1854.2532487275216
67	2019-07-06T07:10:00	142	Workplace	2706.3905161017356	789.73530244076
80	2019-07-06T07:10:00	149	Restaurant	3214.831164254914	1854.2532487275216
172	2019-07-06T07:10:00	224	Restaurant	72.06290852190406	5235.805434177497
196	2019-07-06T07:10:00	189	Apartment	711.388333461881	7149.8115221363905
201	2019-07-06T07:10:00	374	Restaurant	3457.9857195275254	4293.203806306731
202	2019-07-06T07:10:00	456	Restaurant	-4521.189679594014	4847.099060257379
235	2019-07-06T07:10:00	224	Restaurant	72.06290852190406	5235.805434177497
244	2019-07-06T07:10:00	456	Restaurant	-4521.189679594014	4847.099060257379
24	2019-07-06T07:15:00	224	Restaurant	72.06290852190406	5235.805434177497
97	2019-07-06T07:15:00	268	Apartment	3366.907567927041	4012.7732074569744
118	2019-07-06T07:15:00	224	Restaurant	72.06290852190406	5235.805434177497
135	2019-07-06T07:15:00	74	Restaurant	2929.449266074544	2650.1275685260744
140	2019-07-06T07:15:00	374	Restaurant	3457.9857195275254	4293.203806306731
162	2019-07-06T07:15:00	374	Restaurant	3457.9857195275254	4293.203806306731
188	2019-07-06T07:15:00	456	Restaurant	-4521.189679594014	4847.099060257379
193	2019-07-06T07:15:00	374	Restaurant	3457.9857195275254	4293.203806306731
70	2019-07-06T07:20:00	447	Workplace	-2456.3517989168395	6241.343753681172
73	2019-07-06T07:20:00	224	Restaurant	72.06290852190406	5235.805434177497
89	2019-07-06T07:20:00	224	Restaurant	72.06290852190406	5235.805434177497
157	2019-07-06T07:20:00	73	Pub	2115.0617755277826	2662.7099618813054
